Rank,Title,Author,Score,Syllabus Count
83,Intermediate Microeconomics: A Modern Approach,Intermediate Microeconomics: A Modern Approach,98,"5,252"
84,A Theory of Justice,A Theory of Justice,97,"5,212"
85,The C Programming Language,The C Programming Language,98,"5,175"
86,Fundamental Principles of the Metaphysic of Morals,Fundamental Principles of the Metaphysic of Morals,97,"5,169"
87,Management and Organisational Behaviour,Management and Organisational Behaviour,98,"5,140"
88,The Norton Field Guide to Writing,The Norton Field Guide to Writing,99,"5,133"
89,Second Treatise of Government,Second Treatise of Government,97,"5,127"
90,Doing a Literature Review: Releasing the Social Science Research Imagination,Doing a Literature Review: Releasing the Social Science Research Imagination,97,"5,121"
91,The Souls of Black Folk,The Souls of Black Folk,97,"5,101"
92,America: A Narrative History,America: A Narrative History,96,"5,062"
93,Business Vocabulary in Use: Intermediate,Business Vocabulary in Use: Intermediate,97,"5,003"
94,Computer Organization and Design: The Hardware/Software Interface,Computer Organization and Design: The Hardware/Software Interface,97,"4,968"
95,Practical English Usage,Practical English Usage,98,"4,961"
96,Jak Napsat Odborný Text,Jak Napsat Odborný Text,98,"4,952"
97,Software Engineering: Ruan Ji Gong Cheng],Software Engineering: Ruan Ji Gong Cheng],98,"4,945"
98,The Design of Everyday Things,The Design of Everyday Things,98,"4,905"
99,Things Fall Apart,Things Fall Apart,97,"4,890"
100,Kvalitativní Výzkum - Základní Metody a Aplikace,Kvalitativní Výzkum - Základní Metody a Aplikace,99,"4,887"
101,Operating System Concepts,Operating System Concepts,98,"4,872"
102,Everything's an Argument: With Readings,Everything's an Argument: With Readings,97,"4,869"
103,Brock Biology of Microorganisms,Brock Biology of Microorganisms,97,"4,868"
104,Advanced Engineering Mathematics,Advanced Engineering Mathematics,98,"4,862"
105,Marketing: An Introduction,Marketing: An Introduction,98,"4,846"
106,Školní Didaktika,Školní Didaktika,98,"4,814"
107,Digital Image Processing,Digital Image Processing,98,"4,793"
108,Macroeconomics,Macroeconomics,97,"4,780"
109,The Wretched of the Earth: Frantz Fanon ; Translated From the French by Richard Philcox ; Introductions by Jean-Paul Sartre and Homi K. Bhabha,The Wretched of the Earth: Frantz Fanon ; Translated From the French by Richard Philcox ; Introductions by Jean-Paul Sartre and Homi K. Bhabha,97,"4,766"
110,How Languages Are Learned,How Languages Are Learned,96,"4,740"
111,"Narrative of the Life of Frederick Douglass, an American Slave","Narrative of the Life of Frederick Douglass, an American Slave",96,"4,727"
112,The Little Seagull Handbook: With Exercises,The Little Seagull Handbook: With Exercises,98,"4,711"
113,The Practice of Social Research,The Practice of Social Research,97,"4,707"
114,Moderní Vyučováni,Moderní Vyučováni,98,"4,685"
115,Discrete Mathematics and Its Applications,Discrete Mathematics and Its Applications,97,"4,680"
116,An Inquiry Into the Nature and Causes of the Wealth of Nations,An Inquiry Into the Nature and Causes of the Wealth of Nations,95,"4,674"
117,Standards for Professional Communication,Standards for Professional Communication,91,"4,601"
118,Econometric Analysis,Econometric Analysis,97,"4,597"
119,Nicomachean Ethics,Nicomachean Ethics,96,"4,569"
120,Moderní Pedagogika - Věda O Edukačních Procesech,Moderní Pedagogika - Věda O Edukačních Procesech,97,"4,568"
121,Psychologie Pro Učitele,Psychologie Pro Učitele,97,"4,552"
122,Investments,Investments,97,"4,545"
123,The Work of Art in the Age of Mechanical Reproduction,The Work of Art in the Age of Mechanical Reproduction,96,"4,541"
124,The Tragedy of the Commons,The Tragedy of the Commons,95,"4,519"
125,Interpreting Qualitative Data,Interpreting Qualitative Data,96,"4,508"
126,SPSS Survival Manual: A Step by Step Guide to Data Analysis Using SPSS for Windows (Version 12),SPSS Survival Manual: A Step by Step Guide to Data Analysis Using SPSS for Windows (Version 12),97,"4,507"
127,Biochemistry,Biochemistry,97,"4,505"
128,Molecular Cell Biology,Molecular Cell Biology,97,"4,492"
129,College Algebra: An Early Functions Approach,College Algebra: An Early Functions Approach,98,"4,471"
130,Nursing Diagnosis Handbook: A Guide to Planning Care,Nursing Diagnosis Handbook: A Guide to Planning Care,97,"4,463"
131,Bowling Alone: The Collapse and Revival of American Community,Bowling Alone: The Collapse and Revival of American Community,95,"4,431"
132,Democracy in America,Democracy in America,95,"4,424"
133,Leading Change,Leading Change,96,"4,422"
134,MLA Handbook for Writers of Research Papers,MLA Handbook for Writers of Research Papers,95,"4,414"
135,"Managerial Accounting: Concepts for Planning, Control, Decision Making","Managerial Accounting: Concepts for Planning, Control, Decision Making",95,"4,389"
136,Letter From Birmingham Jail,Letter From Birmingham Jail,95,"4,384"
137,Research Methodology: A Step-by-Step Guide for Beginners,Research Methodology: A Step-by-Step Guide for Beginners,98,"4,381"
138,Management Information Systems,Management Information Systems,97,"4,368"
139,Úvod Do Pedagogického Výzkumu,Úvod Do Pedagogického Výzkumu,98,"4,364"
140,Exploring Strategy: Text and Cases (11th Edition),Exploring Strategy: Text and Cases (11th Edition),96,"4,332"
141,Advanced Grammar in Use,Advanced Grammar in Use,97,"4,328"
